Taxon	S.0	S.30	S.56	S.63	S.65	S.66	S.74	S.89	S.95	S.99	S.104	S.106	S.107	S.119	S.120	S.132	S.137	S.139	S.157	S.159	S.89.15	S.107.15	S.119.15	S.137.15	S.0.2015	S.30.2015	S.56.2015	S.63.2015	S.65.2015	S.66.2015	S.74.2015	S.95.2015	S.99.2015	S.104.2015	S.106.2015	S.120.2015	S.132.2015	S.139.2015	S.157.2015	S.159.2015			
k__Bacteria;p__Gemmatimonadetes;Other;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Gemmatimonadetes;c__;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63E-05	0	0	0	0	0	0	0	3.33E-05	0	0	0	0	0	0	0	0	0	2.27E-05	0	0	0	0	0	0	0			
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__	0.002769142	0.000239245	0.001465088	2.50E-05	0.00022869	0.001533524	0.001443585	0.000707489	0.004722121	0.000533468	0.000269495	5.46E-05	0.001601662	0.000459081	0.006436866	0.000881279	0.001220351	9.01E-05	0.002136643	3.08E-05	0.002892921	0.001105425	0.003196377	0.001204497	0.004663487	0.000527742	0.003035998	0.00051395	0	0.003667921	0.003868581	0.003091663	0.001681512	0.000406862	0.000437658	0.005780706	0.003532864	0.000580088	0.000888049	0.000409836			
k__Bacteria;p__Gemmatimonadetes;c__Gemm-2;o__	0	0	1.93E-05	0	0	0	0	0	0	0	0	0	0	0	7.88E-05	0	0	0	0	0	6.07E-05	0	3.33E-05	0	0.000158983	0	0	0	0	9.45E-05	9.88E-05	0.000101923	2.27E-05	0	0	0.000124316	2.85E-05	0	0	0			
k__Bacteria;p__Gemmatimonadetes;c__Gemm-3;o__	0.000470232	2.17E-05	3.86E-05	0	2.08E-05	0	0	0	0	0.000870395	0	0	0	0	2.63E-05	0	0	0	0	0	0	0	6.66E-05	0	5.30E-05	0	0.000144571	0	0	3.78E-05	5.65E-05	0	0	0	0	0	0.000142454	0	0	0			
k__Bacteria;p__Gemmatimonadetes;c__Gemm-5;o__	0.000156744	2.17E-05	0.000250607	0	0.00012474	7.13E-05	0.000433075	0.000565991	0.00108972	0.000393082	9.62E-05	5.46E-05	0	0	0.000499186	0.000352512	6.66E-05	0.000180131	2.54E-05	0	0.000647367	0.000178294	0.000965572	0.000133833	0.000582936	0	0	3.67E-05	7.48E-05	0.000718459	0.000917729	0.000135897	0.00036357	0.000813725	4.86E-05	0.000497265	0.000740762	0.000108767	1.89E-05	0			
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;Other	0.000104496	0.000173996	0.00030844	2.50E-05	6.24E-05	0	0.00017323	0.000141498	0.003269161	0.000112309	7.70E-05	0	0.000519458	0.000122421	0.001287373	0.000176256	6.66E-05	9.01E-05	2.54E-05	0	0.000141612	0.000249612	0.000765799	0.000133833	0.000794913	0.000191906	0.000433714	3.67E-05	4.99E-05	0.000302509	0.000564756	0.000203846	0.000772587	0.000203431	4.86E-05	0.000372949	0.000170945	0	0	0			
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__	0.00412759	0.007851581	0.003142229	0.000801322	0.013908524	0.00139087	0.002194249	0.007817751	0.007991282	0.00637354	0.0027527	0.00073702	0.005757327	0.002632062	0.003021386	0.003852449	0.002329761	0.00126092	0.002187516	0.000739349	0.004005584	0.003441083	0.003595925	0.001739829	0.002676206	0.001031497	0.001301142	0.000367107	0.008378634	0.001247849	0.003868581	0.001019229	0.002067806	0.002712416	0.002139662	0.001616111	0.002564176	0.000688855	0.000396788	0.001605191			
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__C114	0	0	0	0	0	0	0	0	0	0	0	0	0.000129865	0	0.000604277	0	0	0	0	0	4.05E-05	0.000249612	0.000432843	0	0	0	0	0	0	0.000113441	0	0	0.00043174	0	0	0.000310791	0	0	0	0			
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Ellin5290	0.000914339	0.003610422	0.000539769	0.002003305	0.002515593	0.000499287	0.004475113	0.004563303	0.003995641	0.002049641	0.002829698	0.002019981	0.001861391	0.006580155	0.001576375	0.001913635	0.002773525	0.001801315	0.001271812	0.000924186	0.005361008	0.002050386	0.002230805	0.001940578	0.002040276	0.006069038	0.00318057	0.002331131	0.005087028	0.002817114	0.003840343	0.00322756	0.00231776	0.004543297	0.00330675	0.002051218	0.00202285	0.001232688	0.002172886	0.001195355			
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales	0.009456882	0.020140067	0.00940741	0.027946111	0.034345114	0.00149786	0.013656311	0.023948495	0.028332728	0.02178796	0.015033976	0.003821587	0.027444699	0.023045847	0.010824444	0.015359436	0.012092569	0.007385391	0.013150532	0.003327069	0.008759685	0.008415497	0.010521409	0.008029979	0.01009539	0.01110658	0.002746856	0.010591043	0.022367962	0.005199372	0.013624748	0.004314738	0.016178877	0.013697701	0.005008753	0.003791646	0.005270805	0.001776521	0.000944733	0.000785519			
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__KD8-87	2.61E-05	6.52E-05	0	0	0.003326403	0	0	3.54E-05	0	0.000421159	0	0.000245673	0	9.18E-05	0.000289002	2.52E-05	0.000221882	9.01E-05	0.000254362	0	0.000343914	0.000303101	6.66E-05	0.001070664	7.95E-05	0.003262408	0.000433714	0.000293686	0.00750586	0.000132348	0.000352973	0.00047564	0.000272678	0	0.000145886	0.000745898	0.00034189	0.000253789	7.56E-05	0.00034153			
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__N1423WL	0.01711121	0.01209274	0.00229402	0.022011319	0.035654886	0.003281027	0.014204874	0.046482012	0.007264802	0.007468553	0.005640147	0.007561282	0.028570192	0.00079574	0.024801639	0.010222838	0.034081076	0.009006575	0.020883146	0.000184837	0.014363456	0.024461997	0.029566491	0.016461456	0.005484897	0.037061914	0.000144571	0.040987518	0.030098249	0.011816755	0.004588646	0.00519807	0.010884385	0.009290025	0.012594826	0.004040278	0.001196615	0.007178595	0.012262636	0.007923497			
k__Bacteria;p__Kazan-3B-28;c__;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__MVP-21;c__;o__	7.84E-05	2.17E-05	3.86E-05	5.01E-05	0	0.000249643	0.000866151	0.00095511	0	0.001375786	0.000115498	2.73E-05	0.000129865	0.000153027	0.000105092	0.000125897	0	0.000540394	7.63E-05	6.16E-05	0.000121381	0.000142636	9.99E-05	0	7.95E-05	2.40E-05	0	0.000128488	0	3.78E-05	0.000141189	6.79E-05	9.09E-05	0.000203431	0	6.22E-05	0.000113963	3.63E-05	7.56E-05	0			
k__Bacteria;p__NKB19;c__;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__NKB19;c__TSBW08;o__	0	0	1.93E-05	0	0	0	0	0	0.00036324	0	0	0	0	0	5.25E-05	0	0	0	0	0	0	0	3.33E-05	0	0.000105988	0	0	0	0	3.78E-05	5.65E-05	0	0	0	0	6.22E-05	2.85E-05	0	0	0			
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales	0.004989681	0.000674236	0.001619308	0.000225372	0.000602911	0.001462197	0.004301882	0.000601365	0.004722121	0.002049641	0.005370652	0.001883496	0.003636206	0.00125482	0.012427093	0.000881279	0.002817901	0.001801315	0.003586509	0	0.007889786	0.00543798	0.005427183	0.001739829	0.004133545	0.004101998	0.002023999	0.002679883	7.48E-05	0.008375716	0.002964971	0.011007678	0.003590256	0.00332271	0.001556117	0.011188463	0.010968973	0.004169386	0.001832782	0.000956284			
k__Bacteria;p__OD1;Other;Other	0	8.70E-05	0	0	8.32E-05	7.13E-05	0	0	0	0	0	0	0.000216441	0	5.25E-05	0	6.66E-05	9.01E-05	0	0	2.02E-05	0.000231783	9.99E-05	0.000200749	2.65E-05	0.00014393	0	0.000330396	0	7.56E-05	2.82E-05	3.40E-05	2.27E-05	0	4.86E-05	0	0	0	1.89E-05	0.000102459			
k__Bacteria;p__OD1;c__;o__	0.000235116	8.70E-05	3.86E-05	0	2.08E-05	0	0.000230974	0.000353744	0	0.000140386	3.85E-05	0	0.000303017	0	5.25E-05	2.52E-05	0	0	0.000127181	0	0.000121381	0.000356589	3.33E-05	0.000736081	5.30E-05	4.80E-05	0	0.000183554	0.000324173	0.000207975	7.06E-05	0	0	0	0	0	5.70E-05	0.000145022	1.89E-05	0.000751366			
k__Bacteria;p__OD1;c__ABY1;o__	2.61E-05	2.17E-05	0	0	2.08E-05	3.57E-05	0	7.07E-05	0	0	0	0	0.000216441	0	0.000761915	7.55E-05	0.000133129	9.01E-05	0	0	4.05E-05	0.000196124	0	0.000602248	7.95E-05	0.000119941	0	3.67E-05	0.000224428	0.000170161	4.24E-05	3.40E-05	2.27E-05	6.78E-05	0	0.000248633	5.70E-05	7.25E-05	0	0.000136612			
k__Bacteria;p__OD1;c__Mb-NB09;o__	5.22E-05	6.52E-05	0	0	0.001975052	0	0	3.54E-05	0	0	0	0	0	0	2.63E-05	0	8.88E-05	0	0	0	6.07E-05	0.000142636	6.66E-05	0.000669165	0	9.60E-05	0	1.84E-05	0.000523665	0.000170161	4.24E-05	0	0	0	0	6.22E-05	2.85E-05	0.000108767	3.78E-05	0			
k__Bacteria;p__OD1;c__SM2F11;o__	0.001044959	0.000391492	0.00030844	0.000475785	0.000623701	0.00053495	0.000779536	0.001450352	0	0.000758086	0.000134748	0	0.000865763	0.001928139	0.000656823	0.000604306	0.000355011	0.000450329	0.001170067	0.000154031	0.000748518	0.002264339	0.000632616	0.001472163	0.000662427	0.001319356	0.000433714	0.000991189	0.00132163	0.000869713	0.000875372	0.000203846	0.000249955	0.000339052	0.000340401	0.000745898	0.000541326	0.000725111	0.000170052	0.000546448			
k__Bacteria;p__OD1;c__ZB2;o__	0.002873638	0.001217974	0.001079539	0.00057595	0.003160083	0.002282454	0.0015302	0.001768722	0.00036324	0.000673854	0.000846985	0.000245673	0.001558374	0.000367264	0.001550102	0.001561123	0.000909716	0.000720526	0.001627919	3.08E-05	0.00184095	0.013086812	0.00166478	0.004617238	0.00108638	0.002350853	0.000433714	0.000385463	0.006209167	0.001815054	0.001044799	0.000407692	0.000568079	0.000678104	0.000680801	0.00099453	0.000655289	0.001631499	0.000207841	0.002288251			
k__Bacteria;p__OP11;Other;Other	0	0	1.93E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142636	0	0	2.65E-05	7.20E-05	0	0	0	3.78E-05	4.24E-05	3.40E-05	2.27E-05	0	0	0	0	0	0	0			
k__Bacteria;p__OP11;c__;o__	0	0	0	0	0	0	0	0.000176872	0	0	0	0	0	0	0.000105092	0	0.000110941	0	0	0	0	0	0	0	0	0	0	1.84E-05	0.000149618	0	0	3.40E-05	0	0	0.000194515	0	0	0	0	0			
k__Bacteria;p__OP11;c__OP11-1;o__	0	0	0	0	0.00037422	0	0	7.07E-05	0	0	0	0	0	0	0	5.04E-05	0	0	0	0	0	3.57E-05	9.99E-05	6.69E-05	0	0	0	1.84E-05	0.000374046	0	0	0	4.54E-05	0	0	0	0	7.25E-05	0	0			
k__Bacteria;p__OP11;c__OP11-3;o__	0	0	1.93E-05	0	0	3.57E-05	0	0	0	0	0	0	0.000216441	0	2.63E-05	0	0	0	0	0	4.05E-05	8.91E-05	0	0.000200749	2.65E-05	7.20E-05	0	0	0	9.45E-05	1.41E-05	0	4.54E-05	0	0	0.000186474	2.85E-05	0	5.67E-05	0.000170765			
k__Bacteria;p__OP11;c__OP11-4;o__	0	0	1.93E-05	2.50E-05	0	3.57E-05	0	3.54E-05	0	5.62E-05	1.92E-05	0	0.000129865	0	7.88E-05	0	0	0	0	0	0.000101151	8.91E-05	0	0.000200749	0	0	0	1.84E-05	0	5.67E-05	0	3.40E-05	0	6.78E-05	0	0	0	3.63E-05	0	0			
k__Bacteria;p__OP11;c__WCHB1-64;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.52E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__OP11;c__WCHB1-64;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.63E-05	0	0			
k__Bacteria;p__OP11;c__WCHB1-64;o__d153	0	2.17E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.09E-05	0	2.02E-05	0	0	6.69E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.63E-05	0	3.42E-05			
k__Bacteria;p__OP3;c__PBS-25;o__	0	0	1.93E-05	0	2.08E-05	0	0	0	0	0	0	0	0	0	0.001182282	0	0	0	0	0	4.05E-05	0.000106977	9.99E-05	0.000133833	0.000211977	0	0.000144571	0	0	0.000226882	2.82E-05	0.000101923	2.27E-05	6.78E-05	0	0.000124316	2.85E-05	0	0	0			
k__Bacteria;p__OP3;c__koll11;o__	0	0.000108748	5.78E-05	0	0	0	0	0	0	0	0	0	0	0	0.001655194	2.52E-05	2.22E-05	0	0	0	0.000161842	0.000267442	0.000366252	0.000869914	0.000344462	2.40E-05	0.000144571	0	0	0.000207975	0.000338854	0.000373717	2.27E-05	0	0	0.000932372	0.000227927	3.63E-05	0	3.42E-05			
k__Bacteria;p__OP3;c__koll11;o__GIF10	0	0	3.86E-05	0	2.08E-05	0	2.89E-05	0	0.00036324	0	0	0	0	0	0.000105092	0	4.44E-05	0	2.54E-05	0	4.05E-05	8.91E-05	9.99E-05	0.000133833	7.95E-05	2.40E-05	0	0	0	3.78E-05	4.24E-05	0	2.27E-05	0	0	0	8.55E-05	3.63E-05	0	6.83E-05			
k__Bacteria;p__OctSpA1-106;c__;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Planctomycetes;Other;Other	2.61E-05	0	3.86E-05	0	0	0	5.77E-05	0	0	0	0	0	0	3.06E-05	0.000341548	2.52E-05	0.000133129	9.01E-05	0	0	0	0	3.33E-05	0	0.000105988	0	0	0	0	5.67E-05	0.000155308	0.000339743	6.82E-05	0	0	0.000310791	0.000170945	0	0	0			
k__Bacteria;p__Planctomycetes;c__;o__	0	0	0	0	0	0	0	0	0.00036324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000317965	0	0.000289143	0	0	9.45E-05	0.000141189	0.000373717	0	0	0	0.000683739	0.000227927	0	0	0			
k__Bacteria;p__Planctomycetes;c__028H05-P-BN-P5;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00018391	0	0	0	0	0	0	3.57E-05	0	0	0.000291468	0	0	0	0	7.56E-05	1.41E-05	0.00023782	0	0	0	0.000559423	0.000113963	0	0	0			
k__Bacteria;p__Planctomycetes;c__BD7-11;o__	0	0.00045674	0	0	6.24E-05	0	0.000144358	0.001167356	0.00036324	0.000168464	0	2.73E-05	0.000606034	0.000734529	0.00063055	2.52E-05	0.001175975	0.000720526	0.000788523	0	0.00095082	0.000481395	0.000199774	0.00113758	0.00063593	0.000743637	0.000433714	0.000403818	4.99E-05	0.000453763	0.000621232	0.000679486	0.000886203	0.000135621	4.86E-05	0.000621581	0.000256418	0.00170401	0.000207841	0.000853825			
k__Bacteria;p__Planctomycetes;c__C6;o__MVS-107	0	0	9.64E-05	0	0	0	0	0	0	0	0	0	0	0	0.00044664	0	0	0	0	0	4.05E-05	8.91E-05	6.66E-05	0	0.001218866	0	0	0	0	0.000151254	0.000423567	0.00023782	2.27E-05	0	0	0.000745898	0.000569817	0	0	0			
k__Bacteria;p__Planctomycetes;c__C6;o__d113	0	0	1.93E-05	0	0	0	0	0	0	0	0	0	4.33E-05	0	5.25E-05	0	0	0	0	0	0	0	0	0	2.65E-05	0	0	0	0	5.67E-05	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Planctomycetes;c__OM190;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Planctomycetes;c__OM190;o__CL500-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000105092	0	0	0	0	0	6.07E-05	0	3.33E-05	0	5.30E-05	0	0.000144571	0	0	1.89E-05	0.00012707	0	0	0	0	0.000248633	5.70E-05	0	0	0			
k__Bacteria;p__Planctomycetes;c__OM190;o__agg27	0	0	0.00015422	0	0	0	2.89E-05	0	0.00072648	0	0	0	0	0	0.000867006	0	0	0	0	0	0.000141612	5.35E-05	0.000266365	0	0.001563328	0	0.000289143	0	0	0.00041595	0.000691827	0.000951281	0.000136339	0	0	0.002424167	0.000968689	0	0	0			
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;Other	0	0	1.93E-05	0	0	0	0	0	0	0	0	0	8.66E-05	0	0	0	0	0	0	0	2.02E-05	0	6.66E-05	0	0	0	0	0	0	0	1.41E-05	0	2.27E-05	0	0	0	0	0	3.78E-05	6.83E-05			
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__CCM11a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63E-05	0	0	0	0	0	0	0	0	0	2.65E-05	0	0	0	0	0	1.41E-05	0	0	0	0	6.22E-05	0	0	0	0			
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__CPla-3	5.22E-05	0	5.78E-05	0	4.16E-05	0	0.000115487	0.000247621	0.00036324	2.81E-05	5.77E-05	0.000354862	0	0	7.88E-05	5.04E-05	0	0.000180131	0	0	0.000384374	0.000303101	0.000166478	6.69E-05	0.000264971	0	0.001301142	0	4.99E-05	0.000302509	0.000169427	0.000305769	0.000181785	0.000271242	0.000291772	0.000124316	0.000541326	0.000145022	0.000302315	0.000546448			
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales	0	4.35E-05	0.000250607	0	0	0	2.89E-05	7.07E-05	0.00072648	2.81E-05	0	0	0.000129865	0	0.001129736	0.000125897	0	9.01E-05	0	0	0.000364144	0.000374418	0.000199774	0.000401499	0.000900901	0.000167918	0.000289143	1.84E-05	0.001072266	0.000756272	0.00064947	0.000543589	6.82E-05	0	9.73E-05	0.001864744	0.000655289	0	0	0.000136612			
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Pla1	0	0	0	0	0	0	2.89E-05	0	0	0	0	0	8.66E-05	0	7.88E-05	0	0	0	0	0	8.09E-05	7.13E-05	0.000133182	0	0.000105988	0	0	0	0	9.45E-05	2.82E-05	6.79E-05	0	0	0	6.22E-05	0.000170945	0	0	0			
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__S-70	0	0	0	0	0	0	0	0	0	0	1.92E-05	0	0	0	0.000262729	0	0	0	0	0	0	0	0	0	0.000132485	0	0	0	0	3.78E-05	4.24E-05	0.000271795	0	0	0	0.000372949	0.000142454	0	0	0			
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__SHUX583	0	0	0	0	0	0	0	0	0	0	0	0	0.000216441	0	2.63E-05	0	8.88E-05	0	0	0	0	0	0	0	2.65E-05	0	0	1.84E-05	0	0	0	0	0	0	0	0	0	0	0	0			
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101	0.007393088	0.007873331	0.008732698	0.00190314	0.008232848	0.014336662	0.009585402	0.008489865	0.007991282	0.007721249	0.008007854	0.007506688	0.010778754	0.006886209	0.0170774	0.012337908	0.005036721	0.012248942	0.004756575	0.002094821	0.011672837	0.01697363	0.01641473	0.006223233	0.016878643	0.009811212	0.026601128	0.004790749	0.016383223	0.015787185	0.016462648	0.013589726	0.013315761	0.013290839	0.008655904	0.012804575	0.013818057	0.013160757	0.010769957	0.02465847			
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__mle1-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.88E-05	0	0	0	0	0	6.07E-05	0	3.33E-05	0	2.65E-05	0	0	0	0	9.45E-05	1.41E-05	6.79E-05	2.27E-05	0	0	0.000124316	5.70E-05	0	0	0			
k__Bacteria;p__Planctomycetes;c__Pla3;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82E-05	6.79E-05	0	0	0	0.000186474	0	0	0	0			
k__Bacteria;p__Planctomycetes;c__Pla4;o__	0	6.52E-05	0	0	0	0	0	0	0	0	0	0	0	0.000153027	0.000157638	0	0.000931904	9.01E-05	0.000127181	0	8.09E-05	5.35E-05	3.33E-05	0.000267666	7.95E-05	2.40E-05	0.000144571	0.000110132	0	0.000207975	1.41E-05	0.000169872	6.82E-05	0	0	0.000248633	2.85E-05	0.000290044	0	0.000307377			
k__Bacteria;p__Planctomycetes;c__Planctomycetia;Other	0	2.17E-05	1.93E-05	2.50E-05	0	0	0	7.07E-05	0	0	0	0	0	0	2.63E-05	2.52E-05	0	0	0	3.08E-05	2.02E-05	1.78E-05	3.33E-05	0	0	0	0	0	2.49E-05	0	1.41E-05	0	0	0	0	0	0	3.63E-05	0	3.42E-05			
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__B97	7.84E-05	0	0.000115665	0	0	0.00010699	0	0	0	0.000168464	1.92E-05	0	8.66E-05	6.12E-05	0.000131365	0.000100718	0	0	2.54E-05	0	0.000141612	0.000124806	0.000366252	0	0.000317965	0	0.000144571	5.51E-05	0	0.000340323	0.000155308	0.000169872	0.000295401	6.78E-05	0	0.000186474	0.000170945	0	0.000113368	3.42E-05			
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales	0.036808694	0.029970856	0.021629333	0.027695698	0.028399168	0.040370899	0.040795704	0.030315894	0.047221213	0.039139712	0.036593582	0.048315772	0.043850916	0.039878803	0.03181651	0.043510009	0.034635781	0.044312348	0.041944346	0.039031453	0.045315693	0.034392997	0.040953586	0.029510171	0.047641759	0.033943436	0.03758855	0.023072687	0.013540472	0.0480422	0.055459076	0.067405042	0.060625341	0.053231166	0.026405369	0.037729985	0.033932591	0.058190124	0.052111479	0.058230874			
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales	0.00078372	0.000304493	0.002351853	2.50E-05	0.00022869	0.000178317	0.003089271	7.07E-05	0.005085361	0.000477314	0.000269495	0.001856199	0.00164495	3.06E-05	0.006778414	0.000705023	0.001065034	0.001350986	0.000508725	0	0.004470879	0.002638758	0.006326164	0.002074411	0.006756757	0.001463286	0.005059997	0.000569016	7.48E-05	0.005898924	0.005351067	0.007610247	0.00311307	0.003119278	0.002236919	0.011126305	0.008091399	0.000906388	0.002267359	0.004030055			
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales	0.000470232	0.000978729	0.000443382	5.01E-05	0.0004158	0.000178317	0.000837279	0.00031837	0.00072648	0.000421159	0.000134748	0.00120107	0.001515086	0.001591479	0.002206926	0.001460405	0.001952562	0.00063046	0.000864832	0	0.002063482	0.00254961	0.001897849	0.002743576	0.001987281	0.002902584	0.003469712	0.001615272	0.002693133	0.001342383	0.001496604	0.001936536	0.001136157	0.001288398	0.001507489	0.002424167	0.002621157	0.002501631	0.002153991	0.002493169			
k__Bacteria;p__Planctomycetes;c__vadinHA49;o__DH61	0.003369994	0.001087477	0.000925319	0.000300496	0.004740125	0.00267475	0.001790045	0.00063674	0.004358881	0.00092655	0.000577489	0.000163782	0.001904679	0.006182286	0.001313646	0.001410047	0.004570769	0.000540394	0.0035102	0	0.000222532	0.002193022	0.001098755	0.002208244	0.000317965	0.005085518	0.000578285	0.001945668	0.002493641	0.000680645	0.000847135	0.000101923	0.000545355	0.000339052	0.000145886	0.000310791	0.000370381	0.000725111	0.000170052	0.000375683			
k__Bacteria;p__Planctomycetes;c__vadinHA49;o__p04_C01	0.000313488	0.000434991	7.71E-05	0	0.00012474	0.00053495	5.77E-05	0.000212247	0.00072648	0	3.85E-05	0.000109188	0.000216441	0.000122421	0.000683096	0.00042805	0.001397857	0.000180131	0.000941141	0	0.000323684	0.000731007	0.001198642	0.00113758	0.000291468	0.001751145	0.000433714	0.000220264	0.001471248	0.000529391	0.000268259	0.000135897	0.000386293	0.000271242	0.000145886	0.000435107	0.000113963	0.001015155	0.000321209	0.001400273			
k__Bacteria;p__Proteobacteria;Other;Other	0.000548604	0.001283222	0.000751822	0.000826363	0.003991684	0.00053495	0.000664049	0.000672114	0.00036324	0.000280773	0.000712237	0.000382159	0.000865763	0.000979372	0.001497557	0.00083092	0.001264727	0.000720526	0.001780536	0.00720865	0.000768748	0.00158682	0.00136512	0.001873662	0.000688924	0.001463286	0.000867428	0.000936123	0.00194504	0.000926434	0.000988324	0.000611538	0.001113434	0.000813725	0.000486287	0.000186474	0.000569817	0.001232688	0.000245631	0.000478142			
k__Bacteria;p__Proteobacteria;c__;o__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63E-05	0	8.88E-05	0	0	0	0	1.78E-05	0	0	0	0	0	0	0	3.78E-05	0	0	0	0	0	0	0	3.63E-05	1.89E-05	0			
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;Other	0.000313488	4.35E-05	0.00046266	0	0.00037422	0.00010699	0.000144358	0.000141498	0.00036324	0.000112309	9.62E-05	0.000218376	8.66E-05	0	0.000420367	0.000478409	0.000110941	9.01E-05	0.000127181	0.000184837	0.000445065	0.000588372	0.000599321	0.000736081	0.000582936	0.000239883	0.000867428	3.67E-05	0.000374046	0.000510484	0.000691827	0.000407692	6.82E-05	0.000135621	0.000534915	0.000683739	0.000997179	3.63E-05	0.000226736	0.000409836			
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__	0.000809844	0.000717735	0.000250607	0	0.00037422	0.000713267	0.000461947	7.07E-05	0.003269161	8.42E-05	9.62E-05	0.000764317	0.000346305	0	0.001103463	0.000553947	0.001087222	0.000270197	0.000508725	3.08E-05	0.002306245	0.006882165	0.000566025	0.003011242	0.001430843	0.000599707	0.002313142	3.67E-05	0.001097202	0.00177724	0.002273144	0.001392947	0.000204508	0.000339052	0.001312974	0.003356539	0.002507194	0.00105141	0.001454889	0.003142077			
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__BD7-3	0.000287364	6.52E-05	0.00015422	0	2.08E-05	3.57E-05	5.77E-05	0	0.00072648	2.81E-05	0	0	4.33E-05	0	0.000157638	5.04E-05	0.000399388	0.000180131	5.09E-05	6.16E-05	0.001557727	0.000106977	0.000133182	0.002275161	0.000238474	0.000599707	0.000433714	0	0.000149618	0.0008319	0.000268259	6.79E-05	2.27E-05	0.000135621	0	0.000435107	0.000455853	0.000145022	0.000113368	0.000136612			
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	0.001071083	0.00839532	0.003142229	0.001727851	0.014656965	0.002817404	0.004359626	0.006438148	0.008717762	0.003172731	0.002271459	0.002838893	0.003376477	0.003458407	0.002049288	0.00254312	0.004016064	0.003782761	0.0035102	0.003696744	0.005907224	0.001158914	0.003029899	0.003211991	0.004133545	0.009523353	0.008818852	0.001413363	0.018103835	0.002401165	0.004207435	0.003091663	0.003249409	0.003458331	0.004327952	0.003791646	0.003646828	0.005329563	0.003665564	0.005088798			
